180:00 - Deadhead Count: 306  Mandays: 11318, Active Legs: 10336, Excluded Legs: 5320, DH Excluded Legs: 233, newMandays: 10884
184:00 - Deadhead Count: 302  Mandays: 11431, Active Legs: 10463, Excluded Legs: 5193, DH Excluded Legs: 224, newMandays: 10992
188:00 - Deadhead Count: 312  Mandays: 11568, Active Legs: 10617, Excluded Legs: 5039, DH Excluded Legs: 226, newMandays: 11124
192:00 - Deadhead Count: 301  Mandays: 11659, Active Legs: 10736, Excluded Legs: 4920, DH Excluded Legs: 221, newMandays: 11232
196:00 - Deadhead Count: 300  Mandays: 11763, Active Legs: 10865, Excluded Legs: 4791, DH Excluded Legs: 215, newMandays: 11345
200:00 - Deadhead Count: 289  Mandays: 11810, Active Legs: 10941, Excluded Legs: 4715, DH Excluded Legs: 210, newMandays: 11414
204:00 - Deadhead Count: 289  Mandays: 11882, Active Legs: 11035, Excluded Legs: 4621, DH Excluded Legs: 211, newMandays: 11489
208:00 - Deadhead Count: 284  Mandays: 11961, Active Legs: 11130, Excluded Legs: 4526, DH Excluded Legs: 211, newMandays: 11575
212:00 - Deadhead Count: 281  Mandays: 12033, Active Legs: 11222, Excluded Legs: 4434, DH Excluded Legs: 208, newMandays: 11644
216:00 - Deadhead Count: 284  Mandays: 12134, Active Legs: 11338, Excluded Legs: 4318, DH Excluded Legs: 207, newMandays: 11736
220:00 - Deadhead Count: 283  Mandays: 12169, Active Legs: 11405, Excluded Legs: 4251, DH Excluded Legs: 208, newMandays: 11771
224:00 - Deadhead Count: 290  Mandays: 12217, Active Legs: 11489, Excluded Legs: 4167, DH Excluded Legs: 217, newMandays: 11803
228:00 - Deadhead Count: 280  Mandays: 12271, Active Legs: 11568, Excluded Legs: 4088, DH Excluded Legs: 214, newMandays: 11864
232:00 - Deadhead Count: 273  Mandays: 12278, Active Legs: 11621, Excluded Legs: 4035, DH Excluded Legs: 214, newMandays: 11881
236:00 - Deadhead Count: 273  Mandays: 12302, Active Legs: 11676, Excluded Legs: 3980, DH Excluded Legs: 213, newMandays: 11909
240:00 - Deadhead Count: 279  Mandays: 12374, Active Legs: 11752, Excluded Legs: 3904, DH Excluded Legs: 215, newMandays: 11974
244:00 - Deadhead Count: 277  Mandays: 12443, Active Legs: 11828, Excluded Legs: 3828, DH Excluded Legs: 212, newMandays: 12038
248:00 - Deadhead Count: 273  Mandays: 12485, Active Legs: 11879, Excluded Legs: 3777, DH Excluded Legs: 212, newMandays: 12096
252:00 - Deadhead Count: 270  Mandays: 12486, Active Legs: 11904, Excluded Legs: 3752, DH Excluded Legs: 211, newMandays: 12106
256:00 - Deadhead Count: 277  Mandays: 12549, Active Legs: 11978, Excluded Legs: 3678, DH Excluded Legs: 216, newMandays: 12149
260:00 - Deadhead Count: 272  Mandays: 12559, Active Legs: 12015, Excluded Legs: 3641, DH Excluded Legs: 213, newMandays: 12170
264:00 - Deadhead Count: 271  Mandays: 12585, Active Legs: 12062, Excluded Legs: 3594, DH Excluded Legs: 208, newMandays: 12214
268:00 - Deadhead Count: 264  Mandays: 12623, Active Legs: 12106, Excluded Legs: 3550, DH Excluded Legs: 204, newMandays: 12260
272:00 - Deadhead Count: 263  Mandays: 12658, Active Legs: 12157, Excluded Legs: 3499, DH Excluded Legs: 203, newMandays: 12297
276:00 - Deadhead Count: 254  Mandays: 12672, Active Legs: 12194, Excluded Legs: 3462, DH Excluded Legs: 196, newMandays: 12330
