00:00 - Deadhead Count: 3243  Mandays: 9522, Active Legs: 13685, Excluded Legs: 3633, DH Excluded Legs: 3243, newMandays: 6142
04:00 - Deadhead Count: 778  Mandays: 7567, Active Legs: 11624, Excluded Legs: 5694, DH Excluded Legs: 769, newMandays: 6723
08:00 - Deadhead Count: 855  Mandays: 8179, Active Legs: 12054, Excluded Legs: 5264, DH Excluded Legs: 841, newMandays: 7249
12:00 - Deadhead Count: 915  Mandays: 8624, Active Legs: 12398, Excluded Legs: 4920, DH Excluded Legs: 897, newMandays: 7623
16:00 - Deadhead Count: 929  Mandays: 8937, Active Legs: 12631, Excluded Legs: 4687, DH Excluded Legs: 913, newMandays: 7923
20:00 - Deadhead Count: 923  Mandays: 9214, Active Legs: 12839, Excluded Legs: 4479, DH Excluded Legs: 905, newMandays: 8204
24:00 - Deadhead Count: 896  Mandays: 9279, Active Legs: 12896, Excluded Legs: 4422, DH Excluded Legs: 879, newMandays: 8310
28:00 - Deadhead Count: 1006  Mandays: 9593, Active Legs: 13182, Excluded Legs: 4136, DH Excluded Legs: 986, newMandays: 8509
32:00 - Deadhead Count: 951  Mandays: 9700, Active Legs: 13247, Excluded Legs: 4071, DH Excluded Legs: 932, newMandays: 8683
36:00 - Deadhead Count: 975  Mandays: 9866, Active Legs: 13386, Excluded Legs: 3932, DH Excluded Legs: 954, newMandays: 8800
40:00 - Deadhead Count: 888  Mandays: 9837, Active Legs: 13359, Excluded Legs: 3959, DH Excluded Legs: 870, newMandays: 8891
44:00 - Deadhead Count: 941  Mandays: 10015, Active Legs: 13498, Excluded Legs: 3820, DH Excluded Legs: 924, newMandays: 8992
48:00 - Deadhead Count: 970  Mandays: 10107, Active Legs: 13600, Excluded Legs: 3718, DH Excluded Legs: 951, newMandays: 9055
52:00 - Deadhead Count: 1116  Mandays: 10347, Active Legs: 13846, Excluded Legs: 3472, DH Excluded Legs: 1100, newMandays: 9148
56:00 - Deadhead Count: 975  Mandays: 10240, Active Legs: 13742, Excluded Legs: 3576, DH Excluded Legs: 957, newMandays: 9181
60:00 - Deadhead Count: 1020  Mandays: 10376, Active Legs: 13891, Excluded Legs: 3427, DH Excluded Legs: 1004, newMandays: 9282
64:00 - Deadhead Count: 982  Mandays: 10367, Active Legs: 13872, Excluded Legs: 3446, DH Excluded Legs: 966, newMandays: 9305
68:00 - Deadhead Count: 1002  Mandays: 10519, Active Legs: 14011, Excluded Legs: 3307, DH Excluded Legs: 988, newMandays: 9446
72:00 - Deadhead Count: 959  Mandays: 10530, Active Legs: 14021, Excluded Legs: 3297, DH Excluded Legs: 948, newMandays: 9497
76:00 - Deadhead Count: 1048  Mandays: 10659, Active Legs: 14153, Excluded Legs: 3165, DH Excluded Legs: 1036, newMandays: 9537
80:00 - Deadhead Count: 951  Mandays: 10564, Active Legs: 14065, Excluded Legs: 3253, DH Excluded Legs: 939, newMandays: 9545
84:00 - Deadhead Count: 895  Mandays: 10551, Active Legs: 14055, Excluded Legs: 3263, DH Excluded Legs: 881, newMandays: 9597
88:00 - Deadhead Count: 895  Mandays: 10551, Active Legs: 14055, Excluded Legs: 3263, DH Excluded Legs: 881, newMandays: 9597
92:00 - Deadhead Count: 964  Mandays: 10687, Active Legs: 14195, Excluded Legs: 3123, DH Excluded Legs: 949, newMandays: 9662
96:00 - Deadhead Count: 964  Mandays: 10687, Active Legs: 14195, Excluded Legs: 3123, DH Excluded Legs: 949, newMandays: 9662
100:00 - Deadhead Count: 932  Mandays: 10741, Active Legs: 14252, Excluded Legs: 3066, DH Excluded Legs: 915, newMandays: 9744
104:00 - Deadhead Count: 932  Mandays: 10741, Active Legs: 14252, Excluded Legs: 3066, DH Excluded Legs: 915, newMandays: 9744
108:00 - Deadhead Count: 954  Mandays: 10821, Active Legs: 14338, Excluded Legs: 2980, DH Excluded Legs: 940, newMandays: 9807
112:00 - Deadhead Count: 922  Mandays: 10865, Active Legs: 14373, Excluded Legs: 2945, DH Excluded Legs: 906, newMandays: 9880
116:00 - Deadhead Count: 922  Mandays: 10865, Active Legs: 14373, Excluded Legs: 2945, DH Excluded Legs: 906, newMandays: 9880
120:00 - Deadhead Count: 1000  Mandays: 10988, Active Legs: 14510, Excluded Legs: 2808, DH Excluded Legs: 985, newMandays: 9929
124:00 - Deadhead Count: 928  Mandays: 10941, Active Legs: 14455, Excluded Legs: 2863, DH Excluded Legs: 912, newMandays: 9955
128:00 - Deadhead Count: 888  Mandays: 10925, Active Legs: 14468, Excluded Legs: 2850, DH Excluded Legs: 868, newMandays: 9990
132:00 - Deadhead Count: 912  Mandays: 10963, Active Legs: 14500, Excluded Legs: 2818, DH Excluded Legs: 890, newMandays: 10005
136:00 - Deadhead Count: 912  Mandays: 10963, Active Legs: 14500, Excluded Legs: 2818, DH Excluded Legs: 890, newMandays: 10005
140:00 - Deadhead Count: 912  Mandays: 10963, Active Legs: 14500, Excluded Legs: 2818, DH Excluded Legs: 890, newMandays: 10005
144:00 - Deadhead Count: 912  Mandays: 10963, Active Legs: 14500, Excluded Legs: 2818, DH Excluded Legs: 890, newMandays: 10005
148:00 - Deadhead Count: 952  Mandays: 11060, Active Legs: 14605, Excluded Legs: 2713, DH Excluded Legs: 933, newMandays: 10052
152:00 - Deadhead Count: 952  Mandays: 11060, Active Legs: 14605, Excluded Legs: 2713, DH Excluded Legs: 933, newMandays: 10052
156:00 - Deadhead Count: 1019  Mandays: 11139, Active Legs: 14706, Excluded Legs: 2612, DH Excluded Legs: 1004, newMandays: 10063
160:00 - Deadhead Count: 938  Mandays: 11054, Active Legs: 14627, Excluded Legs: 2691, DH Excluded Legs: 923, newMandays: 10063
164:00 - Deadhead Count: 956  Mandays: 11131, Active Legs: 14698, Excluded Legs: 2620, DH Excluded Legs: 940, newMandays: 10110
168:00 - Deadhead Count: 956  Mandays: 11131, Active Legs: 14698, Excluded Legs: 2620, DH Excluded Legs: 940, newMandays: 10110
172:00 - Deadhead Count: 986  Mandays: 11238, Active Legs: 14793, Excluded Legs: 2525, DH Excluded Legs: 971, newMandays: 10186
176:00 - Deadhead Count: 986  Mandays: 11238, Active Legs: 14793, Excluded Legs: 2525, DH Excluded Legs: 971, newMandays: 10186
180:00 - Deadhead Count: 986  Mandays: 11238, Active Legs: 14793, Excluded Legs: 2525, DH Excluded Legs: 971, newMandays: 10186
184:00 - Deadhead Count: 929  Mandays: 11216, Active Legs: 14786, Excluded Legs: 2532, DH Excluded Legs: 914, newMandays: 10223
188:00 - Deadhead Count: 929  Mandays: 11216, Active Legs: 14786, Excluded Legs: 2532, DH Excluded Legs: 914, newMandays: 10223
192:00 - Deadhead Count: 929  Mandays: 11216, Active Legs: 14786, Excluded Legs: 2532, DH Excluded Legs: 914, newMandays: 10223
196:00 - Deadhead Count: 929  Mandays: 11216, Active Legs: 14786, Excluded Legs: 2532, DH Excluded Legs: 914, newMandays: 10223
200:00 - Deadhead Count: 1015  Mandays: 11369, Active Legs: 14941, Excluded Legs: 2377, DH Excluded Legs: 996, newMandays: 10281
204:00 - Deadhead Count: 1015  Mandays: 11369, Active Legs: 14941, Excluded Legs: 2377, DH Excluded Legs: 996, newMandays: 10281
208:00 - Deadhead Count: 1015  Mandays: 11369, Active Legs: 14941, Excluded Legs: 2377, DH Excluded Legs: 996, newMandays: 10281
212:00 - Deadhead Count: 1015  Mandays: 11369, Active Legs: 14941, Excluded Legs: 2377, DH Excluded Legs: 996, newMandays: 10281
216:00 - Deadhead Count: 1015  Mandays: 11369, Active Legs: 14941, Excluded Legs: 2377, DH Excluded Legs: 996, newMandays: 10281
220:00 - Deadhead Count: 1019  Mandays: 11363, Active Legs: 14978, Excluded Legs: 2340, DH Excluded Legs: 1011, newMandays: 10271
224:00 - Deadhead Count: 974  Mandays: 11323, Active Legs: 14941, Excluded Legs: 2377, DH Excluded Legs: 966, newMandays: 10282
228:00 - Deadhead Count: 974  Mandays: 11323, Active Legs: 14941, Excluded Legs: 2377, DH Excluded Legs: 966, newMandays: 10282
232:00 - Deadhead Count: 974  Mandays: 11323, Active Legs: 14941, Excluded Legs: 2377, DH Excluded Legs: 966, newMandays: 10282
236:00 - Deadhead Count: 1113  Mandays: 11498, Active Legs: 15120, Excluded Legs: 2198, DH Excluded Legs: 1105, newMandays: 10308
240:00 - Deadhead Count: 883  Mandays: 11265, Active Legs: 14899, Excluded Legs: 2419, DH Excluded Legs: 874, newMandays: 10322
244:00 - Deadhead Count: 883  Mandays: 11265, Active Legs: 14899, Excluded Legs: 2419, DH Excluded Legs: 874, newMandays: 10322
248:00 - Deadhead Count: 883  Mandays: 11265, Active Legs: 14899, Excluded Legs: 2419, DH Excluded Legs: 874, newMandays: 10322
252:00 - Deadhead Count: 883  Mandays: 11265, Active Legs: 14899, Excluded Legs: 2419, DH Excluded Legs: 874, newMandays: 10322
256:00 - Deadhead Count: 883  Mandays: 11265, Active Legs: 14899, Excluded Legs: 2419, DH Excluded Legs: 874, newMandays: 10322
260:00 - Deadhead Count: 883  Mandays: 11265, Active Legs: 14899, Excluded Legs: 2419, DH Excluded Legs: 874, newMandays: 10322
264:00 - Deadhead Count: 883  Mandays: 11265, Active Legs: 14899, Excluded Legs: 2419, DH Excluded Legs: 874, newMandays: 10322
268:00 - Deadhead Count: 883  Mandays: 11265, Active Legs: 14899, Excluded Legs: 2419, DH Excluded Legs: 874, newMandays: 10322
272:00 - Deadhead Count: 883  Mandays: 11265, Active Legs: 14899, Excluded Legs: 2419, DH Excluded Legs: 874, newMandays: 10322
276:00 - Deadhead Count: 883  Mandays: 11265, Active Legs: 14899, Excluded Legs: 2419, DH Excluded Legs: 874, newMandays: 10322
280:00 - Deadhead Count: 883  Mandays: 11265, Active Legs: 14899, Excluded Legs: 2419, DH Excluded Legs: 874, newMandays: 10322
284:00 - Deadhead Count: 883  Mandays: 11265, Active Legs: 14899, Excluded Legs: 2419, DH Excluded Legs: 874, newMandays: 10322
288:00 - Deadhead Count: 883  Mandays: 11265, Active Legs: 14899, Excluded Legs: 2419, DH Excluded Legs: 874, newMandays: 10322
292:00 - Deadhead Count: 883  Mandays: 11265, Active Legs: 14899, Excluded Legs: 2419, DH Excluded Legs: 874, newMandays: 10322
296:00 - Deadhead Count: 883  Mandays: 11265, Active Legs: 14899, Excluded Legs: 2419, DH Excluded Legs: 874, newMandays: 10322
300:00 - Deadhead Count: 883  Mandays: 11265, Active Legs: 14899, Excluded Legs: 2419, DH Excluded Legs: 874, newMandays: 10322
304:00 - Deadhead Count: 883  Mandays: 11265, Active Legs: 14899, Excluded Legs: 2419, DH Excluded Legs: 874, newMandays: 10322
308:00 - Deadhead Count: 883  Mandays: 11265, Active Legs: 14899, Excluded Legs: 2419, DH Excluded Legs: 874, newMandays: 10322
312:00 - Deadhead Count: 883  Mandays: 11265, Active Legs: 14899, Excluded Legs: 2419, DH Excluded Legs: 874, newMandays: 10322
316:00 - Deadhead Count: 883  Mandays: 11265, Active Legs: 14899, Excluded Legs: 2419, DH Excluded Legs: 874, newMandays: 10322
320:00 - Deadhead Count: 883  Mandays: 11265, Active Legs: 14899, Excluded Legs: 2419, DH Excluded Legs: 874, newMandays: 10322
324:00 - Deadhead Count: 883  Mandays: 11265, Active Legs: 14899, Excluded Legs: 2419, DH Excluded Legs: 874, newMandays: 10322
328:00 - Deadhead Count: 883  Mandays: 11265, Active Legs: 14899, Excluded Legs: 2419, DH Excluded Legs: 874, newMandays: 10322
332:00 - Deadhead Count: 883  Mandays: 11265, Active Legs: 14899, Excluded Legs: 2419, DH Excluded Legs: 874, newMandays: 10322
336:00 - Deadhead Count: 883  Mandays: 11265, Active Legs: 14899, Excluded Legs: 2419, DH Excluded Legs: 874, newMandays: 10322
340:00 - Deadhead Count: 883  Mandays: 11265, Active Legs: 14899, Excluded Legs: 2419, DH Excluded Legs: 874, newMandays: 10322
344:00 - Deadhead Count: 883  Mandays: 11265, Active Legs: 14899, Excluded Legs: 2419, DH Excluded Legs: 874, newMandays: 10322
348:00 - Deadhead Count: 883  Mandays: 11265, Active Legs: 14899, Excluded Legs: 2419, DH Excluded Legs: 874, newMandays: 10322
352:00 - Deadhead Count: 883  Mandays: 11265, Active Legs: 14899, Excluded Legs: 2419, DH Excluded Legs: 874, newMandays: 10322
356:00 - Deadhead Count: 936  Mandays: 11284, Active Legs: 15059, Excluded Legs: 2259, DH Excluded Legs: 930, newMandays: 10293
360:00 - Deadhead Count: 936  Mandays: 11284, Active Legs: 15059, Excluded Legs: 2259, DH Excluded Legs: 930, newMandays: 10293
