180:00 - Deadhead Count: 1136  Mandays: 10483, Active Legs: 13786, Excluded Legs: 1870, DH Excluded Legs: 1095, newMandays: 9311
184:00 - Deadhead Count: 1136  Mandays: 10483, Active Legs: 13786, Excluded Legs: 1870, DH Excluded Legs: 1095, newMandays: 9311
188:00 - Deadhead Count: 1136  Mandays: 10483, Active Legs: 13786, Excluded Legs: 1870, DH Excluded Legs: 1095, newMandays: 9311
192:00 - Deadhead Count: 1074  Mandays: 10449, Active Legs: 13774, Excluded Legs: 1882, DH Excluded Legs: 1037, newMandays: 9330
196:00 - Deadhead Count: 1137  Mandays: 10528, Active Legs: 13854, Excluded Legs: 1802, DH Excluded Legs: 1099, newMandays: 9350
200:00 - Deadhead Count: 1102  Mandays: 10513, Active Legs: 13829, Excluded Legs: 1827, DH Excluded Legs: 1065, newMandays: 9366
204:00 - Deadhead Count: 1102  Mandays: 10513, Active Legs: 13829, Excluded Legs: 1827, DH Excluded Legs: 1065, newMandays: 9366
208:00 - Deadhead Count: 1102  Mandays: 10513, Active Legs: 13829, Excluded Legs: 1827, DH Excluded Legs: 1065, newMandays: 9366
212:00 - Deadhead Count: 1102  Mandays: 10513, Active Legs: 13829, Excluded Legs: 1827, DH Excluded Legs: 1065, newMandays: 9366
216:00 - Deadhead Count: 1102  Mandays: 10513, Active Legs: 13829, Excluded Legs: 1827, DH Excluded Legs: 1065, newMandays: 9366
220:00 - Deadhead Count: 1102  Mandays: 10513, Active Legs: 13829, Excluded Legs: 1827, DH Excluded Legs: 1065, newMandays: 9366
224:00 - Deadhead Count: 1102  Mandays: 10513, Active Legs: 13829, Excluded Legs: 1827, DH Excluded Legs: 1065, newMandays: 9366
228:00 - Deadhead Count: 1102  Mandays: 10513, Active Legs: 13829, Excluded Legs: 1827, DH Excluded Legs: 1065, newMandays: 9366
232:00 - Deadhead Count: 1102  Mandays: 10513, Active Legs: 13829, Excluded Legs: 1827, DH Excluded Legs: 1065, newMandays: 9366
236:00 - Deadhead Count: 1102  Mandays: 10513, Active Legs: 13829, Excluded Legs: 1827, DH Excluded Legs: 1065, newMandays: 9366
240:00 - Deadhead Count: 1102  Mandays: 10513, Active Legs: 13829, Excluded Legs: 1827, DH Excluded Legs: 1065, newMandays: 9366
244:00 - Deadhead Count: 1102  Mandays: 10513, Active Legs: 13829, Excluded Legs: 1827, DH Excluded Legs: 1065, newMandays: 9366
248:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
252:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
256:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
260:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
264:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
268:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
272:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
276:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
280:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
284:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
288:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
292:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
296:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
300:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
304:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
308:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
312:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
316:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
320:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
324:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
328:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
332:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
336:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
340:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
344:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
348:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
352:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
356:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
360:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
364:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
368:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
372:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
376:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
380:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
384:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
388:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
392:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
396:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
400:00 - Deadhead Count: 1086  Mandays: 10425, Active Legs: 13833, Excluded Legs: 1823, DH Excluded Legs: 1052, newMandays: 9296
